q2	x	f2	fl	redx
0.5	1e-06	0.5195510302115939	0.1472169368565281	0.3723340933550658
0.5	1.4677992676220705e-06	0.5195510302115939	0.17116973214795875	0.34838129806363516
0.5	2.1544346900318822e-06	0.5195510302115939	0.19618232726320592	0.32336870294838793
0.5	3.162277660168379e-06	0.5195510302115939	0.18500916128013956	0.3345418689314543
0.5	4.641588833612782e-06	0.5067295815044618	0.11039971598005059	0.3963298655244112
0.5	6.8129206905796085e-06	0.4851270655517184	0.0461751475696117	0.4389519179821067
0.5	1e-05	0.46391731126084346	0.017681768679776236	0.44623554258106723
0.5	1.4677992676220675e-05	0.44312715515048473	0.006885587574152338	0.43624156757633237
0.5	2.1544346900318823e-05	0.42277189262311565	0.002773419908633715	0.41999847271448193
0.5	3.1622776601683795e-05	0.402860253040071	0.0011495268428903611	0.4017107261971806
0.5	4.641588833612772e-05	0.38343106334364824	0.0004863715656449059	0.38294469177800333
0.5	6.812920690579608e-05	0.36447419942945825	0.00020868288812925972	0.364265516541329
0.5	0.0001	0.3460400037013994	9.036136614866808e-05	0.3459496423352508
0.5	0.0001467799267622069	0.32816711815314037	3.935374484733211e-05	0.32812776440829305
0.5	0.00021544346900318823	0.3107969758915607	1.719882419302811e-05	0.31077977706736765
0.5	0.00031622776601683794	0.29399458878636586	7.530591843339172e-06	0.29398705819452253
0.5	0.00046415888336127773	0.27777109532262667	3.299993287237622e-06	0.27776779532933943
0.5	0.0006812920690579609	0.2621451465042264	1.4462442601125407e-06	0.26214370025996625
0.5	0.001	0.24713847217932566	6.336237485228743e-07	0.24713783855557714
0.5	0.0014677992676220691	0.23276723476409514	2.774375363322806e-07	0.2327669573265588
0.5	0.002154434690031882	0.21905623237087488	1.2139659293710554e-07	0.21905611097428193
0.5	0.0031622776601683794	0.2060485134450454	5.308836788430343e-08	0.2060484603566775
0.5	0.004641588833612777	0.1937906673248531	2.320899320392933e-08	0.1937906441158599
0.5	0.006812920690579608	0.1823360243517698	1.0147367960225624e-08	0.18233601420440182
0.5	0.01	0.17175990209314174	4.439797544061384e-09	0.17175989765334418
22.0	1e-06	4.3045823645447365	0.8638463829100109	3.4407359816347256
22.0	1.4677992676220705e-06	4.3045823645447365	0.8675691264986011	3.4370132380461356
22.0	2.1544346900318822e-06	4.3045823645447365	0.873062019039638	3.4315203455050987
22.0	3.162277660168379e-06	4.3045823645447365	0.8811861660360687	3.4233961985086676
22.0	4.641588833612782e-06	4.116244285290263	0.8533046923515044	3.262939592938759
22.0	6.8129206905796085e-06	3.8123249767249967	0.8036876270270877	3.008637349697909
22.0	1e-05	3.5231971001230673	0.7624106227108666	2.760786477412201
22.0	1.4677992676220675e-05	3.250714422317839	0.7316610162175244	2.5190534061003143
22.0	2.1544346900318823e-05	2.99245637836896	0.7143555371521488	2.278100841216811
22.0	3.1622776601683795e-05	2.7523773162138134	0.7149443453783663	2.037432970835447
22.0	4.641588833612772e-05	2.525587347949752	0.7387849605971701	1.7868023873525818
22.0	6.812920690579608e-05	2.3115908410993	0.7848760073876353	1.5267148337116645
22.0	0.0001	2.1136399002274358	0.8077787073594145	1.3058611928680213
22.0	0.0001467799267622069	1.9265003794547304	0.6568938260830992	1.2696065533716312
22.0	0.00021544346900318823	1.7540432570699112	0.3397296393695216	1.4143136177003894
22.0	0.00031622776601683794	1.591769393123785	0.12956288219928624	1.4622065109244988
22.0	0.00046415888336127773	1.441835727237969	0.04625584585145413	1.3955798813865148
22.0	0.0006812920690579609	1.3027572599389166	0.016854049179623017	1.2859032107592936
22.0	0.001	1.1732836019234483	0.006338603896273472	1.1669449980271749
22.0	0.0014677992676220691	1.0553468994236581	0.002444723638931469	1.0529021757847266
22.0	0.002154434690031882	0.9455821382514941	0.0009590701118049557	0.9446230681396891
22.0	0.0031622776601683794	0.8446103885240487	0.00038012455028621977	0.8442302639737624
22.0	0.004641588833612777	0.7519535392453239	0.00015144526563567272	0.7518020939796882
22.0	0.006812920690579608	0.6671610720309955	6.042367052729406e-05	0.6671006483604682
22.0	0.01	0.5898245689594336	2.407337432244443e-05	0.5898004955851112
45.0	1e-06	5.816007187558081	1.1482598837468463	4.667747303811234
45.0	1.4677992676220705e-06	5.816007187558081	1.1506765755829673	4.665330611975113
45.0	2.1544346900318822e-06	5.816007187558081	1.154232944332307	4.661774243225774
45.0	3.162277660168379e-06	5.816007187558081	1.1594726899487942	4.656534497609287
45.0	4.641588833612782e-06	5.546692925121227	1.1111504702958481	4.435542454825379
45.0	6.8129206905796085e-06	5.107709804275207	1.029760410467873	4.077949393807334
45.0	1e-05	4.695157986232003	0.9566406019549574	3.7385173842770456
45.0	1.4677992676220675e-05	4.308631404069862	0.8929217532629367	3.4157096508069253
45.0	2.1544346900318823e-05	3.946662917204907	0.839777985633683	3.106884931571224
45.0	3.1622776601683795e-05	3.6082155381192513	0.7992558519524783	2.808959686166773
45.0	4.641588833612772e-05	3.289389931845543	0.7744747178286175	2.5149152140169253
45.0	6.812920690579608e-05	2.9978548639952014	0.7699328395643215	2.22792202443088
45.0	0.0001	2.7178029004302986	0.7810974008821538	1.9367054995481447
45.0	0.0001467799267622069	2.4695908761481715	0.8316433770252679	1.6379474991229035
45.0	0.00021544346900318823	2.2339953317955255	0.8327083481939466	1.4012869836015789
45.0	0.00031622776601683794	2.015995192928431	0.6340163794443525	1.3819788134840787
45.0	0.00046415888336127773	1.8106143448516432	0.3020405375073746	1.5085738073442685
45.0	0.0006812920690579609	1.6290953134625492	0.11290943943264302	1.5161858740299061
45.0	0.001	1.4567141519869136	0.03979203463537642	1.4169221173515372
45.0	0.0014677992676220691	1.301689180879587	0.014360808120976686	1.2873283727586102
45.0	0.002154434690031882	1.1557230811187842	0.005279786673313106	1.150443294445471
45.0	0.0031622776601683794	1.0269815365939505	0.002035097412035091	1.0249464391819154
45.0	0.004641588833612777	0.9056640605517319	0.000778106313739076	0.9048859542379928
45.0	0.006812920690579608	0.7986784796879697	0.0003068352389200979	0.7983716444490496
45.0	0.01	0.6990121135686042	0.00011887968958774945	0.6988932338790164
