s	qsq2	x	f2	fl	sig
319	1.5	1e-05	0.025212685151686145	0.007960355767038367	0.017252329384647776
319	1.5	1.333521432163324e-05	0.02413110844034996	0.005210636579346116	0.018920471861003846
319	1.5	1.778279410038923e-05	0.0230794325678077	0.0027638226170335215	0.02031560995077418
319	1.5	2.3713737056616554e-05	0.022058500604147102	0.001342409948144974	0.020716090656002127
319	1.5	3.1622776601683795e-05	0.02106835938764576	0.0006437331603590497	0.02042462622728671
319	1.5	4.216965034285822e-05	0.020108461873356076	0.00031307724504525284	0.019795384628310823
319	1.5	5.623413251903491e-05	0.01917885688523499	0.00015522570155135988	0.01902363118368363
319	1.5	7.498942093324559e-05	0.018279522126878302	7.832932645608122e-05	0.01820119280042222
319	1.5	0.0001	0.01740995217299047	4.008771718383517e-05	0.017369864455806634
319	1.5	0.0001333521432163324	0.01657106912551539	2.0745661323251046e-05	0.01655032346419214
319	1.5	0.00017782794100389227	0.015761620894555677	1.0822705393853467e-05	0.01575079818916182
319	1.5	0.00023713737056616554	0.014981981658160696	5.680513779790663e-06	0.014976301144380906
319	1.5	0.00031622776601683794	0.01423084895650975	2.9938008642198184e-06	0.01422785515564553
319	1.5	0.00042169650342858224	0.013508573170676746	1.5826159374979063e-06	0.01350699055473925
319	1.5	0.0005623413251903491	0.012814639114037987	8.382284165339132e-07	0.012813800885621453
319	1.5	0.0007498942093324559	0.012149070509829437	4.445704841081396e-07	0.012148625939345329
319	1.5	0.001	0.011510641264995906	2.3597884984200208e-07	0.011510405286146063
319	1.5	0.001333521432163324	0.010899407725484074	1.2530150943961615e-07	0.010899282423974635
319	1.5	0.0017782794100389228	0.010314917910748879	6.653477961639362e-08	0.010314851375969263
319	1.5	0.0023713737056616554	0.009756767105571959	3.5323076292557374e-08	0.009756731782495667
319	1.5	0.0031622776601683794	0.00922450489804728	1.8745700116071974e-08	0.009224486152347165
319	1.5	0.004216965034285823	0.008717838049372243	9.942914351023337e-09	0.008717828106457891
319	1.5	0.005623413251903491	0.00823593670675693	5.2703523140925355e-09	0.008235931436404616
319	1.5	0.007498942093324558	0.007778513510954271	2.7914783202725617e-09	0.007778510719475951
319	1.5	0.01	0.007345003721625995	1.4772022267285663e-09	0.007345002244423768
319	8.5	1e-05	0.0677783171163232	0.01546096578703625	0.05231735132928696
319	8.5	1.333521432163324e-05	0.06416118693567838	0.015786981004370437	0.04837420593130794
319	8.5	1.778279410038923e-05	0.06068571575567187	0.016429919373020362	0.04425579638265151
319	8.5	2.3713737056616554e-05	0.05734688076643739	0.01739099222352591	0.039955888542911475
319	8.5	3.1622776601683795e-05	0.05414653545361965	0.018393631315084237	0.035752904138535414
319	8.5	4.216965034285822e-05	0.05107867815721663	0.01836064392242562	0.03271803423479101
319	8.5	5.623413251903491e-05	0.04814090788595406	0.015438178612083946	0.03270272927387011
319	8.5	7.498942093324559e-05	0.04533034808543342	0.009960705661177058	0.03536964242425636
319	8.5	0.0001	0.04264477802947593	0.005190343395140981	0.03745443463433495
319	8.5	0.0001333521432163324	0.040081271553430595	0.002468928224434791	0.0376123433289958
319	8.5	0.00017782794100389227	0.0376354360981076	0.001157583986449991	0.03647785211165761
319	8.5	0.00023713737056616554	0.03530390183245907	0.0005500131329047305	0.03475388869955434
319	8.5	0.00031622776601683794	0.033083637817756285	0.0002663228200255215	0.032817314997730766
319	8.5	0.00042169650342858224	0.030971244604966166	0.00013119642819072055	0.030840048176775447
319	8.5	0.0005623413251903491	0.028963542731186023	6.552675781016284e-05	0.02889801597337586
319	8.5	0.0007498942093324559	0.027056927312205808	3.306956749437614e-05	0.027023857744711433
319	8.5	0.001	0.025247180886355552	1.6815621421656846e-05	0.025230365264933895
319	8.5	0.001333521432163324	0.023531654508585003	8.595689041178337e-06	0.023523058819543825
319	8.5	0.0017782794100389228	0.0219070170451035	4.409144560992124e-06	0.02190260790054251
319	8.5	0.0023713737056616554	0.020369930788422003	2.2663396811717466e-06	0.02036766444874083
319	8.5	0.0031622776601683794	0.018917130614161108	1.166022126632562e-06	0.018915964592034474
319	8.5	0.004216965034285823	0.017545612433817158	5.999622666118569e-07	0.017545012471550547
319	8.5	0.005623413251903491	0.016251864378535995	3.084978035301617e-07	0.016251555880732467
319	8.5	0.007498942093324558	0.015033036718116783	1.5842334219257163e-07	0.01503287829477459
319	8.5	0.01	0.013886028596129033	8.120303222460954e-08	0.013885947393096808
319	27	1e-05	0.11876699444216088	0.023902649636906366	0.09486434480525452
319	27	1.333521432163324e-05	0.1117174696512408	0.023017583644718797	0.088699886006522
319	27	1.778279410038923e-05	0.10499043920199652	0.022324660491096868	0.08266577871089965
319	27	2.3713737056616554e-05	0.09857660434637056	0.02186382043568625	0.07671278391068431
319	27	3.1622776601683795e-05	0.09246613248891465	0.021688924828611882	0.07077720766030277
319	27	4.216965034285822e-05	0.0866204319202888	0.021867705321545482	0.06475272659874332
319	27	5.623413251903491e-05	0.08108860791579285	0.022467482144374117	0.05862112577141873
319	27	7.498942093324559e-05	0.07585916960936129	0.02347547668381732	0.05238369292554397
319	27	0.0001	0.07087073001857083	0.024517050031179616	0.04635367998739122
319	27	0.0001333521432163324	0.06614044805581089	0.024193353262959946	0.04194709479285094
319	27	0.00017782794100389227	0.06165782103617488	0.02014523887273637	0.041512582163438505
319	27	0.00023713737056616554	0.057413900238382186	0.012874231610544587	0.0445396686278376
319	27	0.00031622776601683794	0.053373319688853706	0.00663068327245069	0.04674263641640301
319	27	0.00042169650342858224	0.04960711048889249	0.003111088583887908	0.046496021905004584
319	27	0.0005623413251903491	0.04602629547677139	0.0014371799784285023	0.044589115498342886
319	27	0.0007498942093324559	0.04264999781153491	0.0006723795364597934	0.04197761827507512
319	27	0.001	0.039467547783188034	0.00032042154672231124	0.03914712623646572
319	27	0.001333521432163324	0.03647181238326513	0.00015527380563965413	0.03631653857762547
319	27	0.0017782794100389228	0.03363525422481481	7.624836147463039e-05	0.03355900586334018
319	27	0.0023713737056616554	0.031008043128351086	3.780986053527579e-05	0.03097023326781581
319	27	0.0031622776601683794	0.028524584071566092	1.8878645666031543e-05	0.02850570542590006
319	27	0.004216965034285823	0.02619676243209089	9.46852401779825e-06	0.02618729390807309
319	27	0.005623413251903491	0.024017213279082527	4.7613078324719796e-06	0.024012451971250057
319	27	0.007498942093324558	0.021966136582234876	2.3968929069982044e-06	0.02196373968932788
319	27	0.01	0.020076201375668287	1.2064939694033417e-06	0.020074994881698883
319	200	1e-05	0.25380672098881674	0.043036009335728764	0.21077071165308797
319	200	1.333521432163324e-05	0.2364280659835006	0.040079167901329205	0.1963488980821714
319	200	1.778279410038923e-05	0.21996811694636384	0.03732689996993141	0.18264121697643243
319	200	2.3713737056616554e-05	0.20445233308662003	0.034779119199398856	0.16967321388722117
319	200	3.1622776601683795e-05	0.1898383058135459	0.032434019076040585	0.15740428673750534
319	200	4.216965034285822e-05	0.17608275498501935	0.030292701127517193	0.14579005385750216
319	200	5.623413251903491e-05	0.1631432023844443	0.02835995077531012	0.13478325160913418
319	200	7.498942093324559e-05	0.15099165148226198	0.026643863885305312	0.12434778759695667
319	200	0.0001	0.1395866634998761	0.025157668696191206	0.1144289948036849
319	200	0.0001333521432163324	0.12889164135427733	0.023921288960657296	0.10497035239362004
319	200	0.00017782794100389227	0.11887053241671222	0.022963666228652962	0.09590686618805926
319	200	0.00023713737056616554	0.10948973286631504	0.02232514844882484	0.0871645844174902
319	200	0.00031622776601683794	0.10071693917059026	0.022055714998836143	0.07866122417175411
319	200	0.00042169650342858224	0.09252060271273144	0.022196967837468797	0.07032363487526264
319	200	0.0005623413251903491	0.08487021607074897	0.02270195364754039	0.06216826242320858
319	200	0.0007498942093324559	0.0777364951485213	0.023164125500158356	0.05457236964836294
319	200	0.001	0.07109144968734497	0.022238515450986557	0.04885293423635842
319	200	0.001333521432163324	0.06490812755527207	0.01790734338523784	0.047000784170034234
319	200	0.0017782794100389228	0.05916063629231529	0.011046804265679267	0.04811383202663602
319	200	0.0023713737056616554	0.05382407481691179	0.005515385434752289	0.0483086893821595
319	200	0.0031622776601683794	0.04887481023389012	0.0025183196939509477	0.04635649053993917
319	200	0.004216965034285823	0.044290130244659984	0.0011335004222642149	0.04315662982239577
319	200	0.005623413251903491	0.04000937861494136	0.0005131827247711897	0.03949619589017017
319	200	0.007498942093324558	0.03609424956647797	0.00023798166000785285	0.03585626790647012
319	200	0.01	0.03251410559432359	0.00011284910962695998	0.03240125648469663
